id,host,x,y,height,length,width,ln.size,occupied,total,ln.total,no_grn,no_str,no_dark,no_mal,no_cam,mal,con,conA,conC,pcon_mal,qimm,qimmA,qimmC,qimm_mal,qimmA_mal,qimmC_mal
A1,A,11.25,15,115,140,90,6.161068385,1,5,0.77815125,1,4,0,1,4,0.2,0.68,0.625,0.055,0.080882353,0.253,0.219,0.637,0.253,0.219,0.637
A2,A,12.5,12.75,130,110,150,6.331427297,1,27,1.447158031,6,19,2,6,19,0.24,0.529,0.412,0.117,0.221172023,0.293,0.194,0.641,0.293,0.194,0.641
A3,A,13.5,13.75,120,50,90,5.73239376,1,5,0.77815125,0,4,1,0,4,0,1.077,1.006,0.071,0.065923863,0.26,0.236,0.61,0.26,0.236,0.61
A4,A,15.5,12.75,170,160,120,6.51375015,1,9,1,2,7,0,2,7,0.222222222,0.758,0.69,0.068,0.089709763,0.263,0.237,0.527,0.263,0.237,0.527
A5,A,15.25,15,105,90,90,5.929674318,1,2,0.477121255,0,1,1,0,1,0,0.97,0.93,0.04,0.041237113,0.265,0.252,0.575,0.265,0.252,0.575
A6,A,15,16,105,40,45,5.276461804,1,3,0.544068044,1,2,0,1,2,0.2,0.909,0.873,0.036,0.03960396,0.274,0.261,0.594,0.274,0.261,0.594
A7,A,14.5,17.75,140,120,170,6.455758203,1,5,0.77815125,1,4,0,1,4,0.2,0.692,0.65,0.042,0.060693642,0.329,0.309,0.626,0.329,0.309,0.626
A8,A,13.25,16,120,130,130,6.307067951,1,3,0.544068044,1,2,0,1,2,0.2,0.832,0.792,0.04,0.048076923,0.258,0.24,0.623,0.258,0.24,0.623
A9,A,12.5,18.5,170,150,230,6.768268016,1,3,0.602059991,2,1,0,2,1,0.666666667,0.544,0.499,0.045,0.082720588,0.301,0.27,0.648,0.301,0.27,0.648
A10,A,11.75,16,145,40,60,5.541579244,1,2,0.477121255,0,2,0,0,2,0,0.719,0.677,0.042,0.058414465,0.271,0.248,0.635,0.271,0.248,0.635
A11,A,15.5,17,65,75,20,4.989004616,1,1,0.301029996,1,0,0,1,0,1,0.915,0.877,0.038,0.041530055,0.277,0.263,0.599,0.277,0.263,0.599
A12,A,16.25,17,130,80,70,5.862131379,1,3,0.602059991,2,1,0,2,1,0.666666667,0.866,0.827,0.039,0.045034642,0.257,0.242,0.584,0.257,0.242,0.584
A13,A,17,18,125,150,130,6.386944624,1,3,0.602059991,0,3,0,0,3,0,0.797,0.744,0.053,0.066499373,0.319,0.3,0.581,0.319,0.3,0.581
A14,A,18.75,16.5,150,150,180,6.607455023,1,9,1,0,9,0,0,9,0,0.748,0.708,0.041,0.054812834,0.315,0.303,0.523,0.315,0.303,0.523
A15,A,19.75,15.75,120,140,170,6.455758203,1,2,0.397940009,1,1,0,1,1,0.333333333,0.888,0.851,0.037,0.041666667,0.235,0.224,0.505,0.235,0.224,0.505
A16,A,20,14.75,150,120,110,6.29666519,1,2,0.397940009,1,1,0,1,1,0.333333333,0.854,0.822,0.032,0.037470726,0.244,0.234,0.491,0.244,0.234,0.491
A17,A,20,13.75,180,140,150,6.5774918,1,10,1.041392685,2,8,0,2,8,0.2,0.55,0.52,0.03,0.054545455,0.277,0.266,0.472,0.277,0.266,0.472
A18,A,21.5,11.75,100,90,80,5.857332496,0,0,0,0,0,0,0,0,,0.413,0.378,0.035,0.084745763,0.259,0.246,0.409,0.259,0.246,0.409
A19,A,21.5,13,90,80,80,5.760422483,1,1,0.301029996,0,1,0,0,1,0,0.518,0.482,0.036,0.069498069,0.262,0.249,0.444,0.262,0.249,0.444
A20,A,17.75,13,130,230,130,6.589614541,1,3,0.602059991,2,1,0,2,1,0.666666667,0.773,0.735,0.038,0.04915912,0.239,0.226,0.488,0.239,0.226,0.488
A21,A,17.5,12,100,40,60,5.380211242,1,1,0.301029996,0,1,0,0,1,0,0.707,0.658,0.049,0.069306931,0.292,0.278,0.474,0.292,0.278,0.474
A22,A,16.5,14.25,110,140,100,6.187520721,1,1,0.301029996,0,0,1,0,0,,0.981,0.943,0.038,0.038735984,0.272,0.261,0.534,0.272,0.261,0.534
A23,A,17.75,15,140,270,130,6.691435152,1,7,0.903089987,3,4,0,3,4,0.428571429,0.833,0.801,0.032,0.038415366,0.232,0.22,0.524,0.232,0.22,0.524
A24,A,22.25,17.75,150,170,150,6.582631439,1,9,1,3,6,0,3,6,0.333333333,0.577,0.501,0.076,0.131715771,0.261,0.22,0.534,0.261,0.22,0.534
A25,A,23.75,14.75,100,40,30,5.079181246,1,1,0.301029996,0,1,0,0,1,0,0.421,0.345,0.076,0.180522565,0.304,0.266,0.478,0.304,0.266,0.478
A26,A,26,12.25,150,110,200,6.51851394,1,6,0.84509804,2,4,0,2,4,0.333333333,0.297,0.121,0.176,0.592592593,0.368,0.288,0.424,0.368,0.288,0.424
A27,A,33.25,14.5,250,200,250,7.096910013,1,1,0.301029996,0,1,0,0,1,0,0.356,0.015,0.34,0.95505618,0.469,0.329,0.475,0.469,0.329,0.475
A28,A,5.5,23.5,60,120,80,5.760422483,0,0,0,0,0,0,0,0,,0.224,0.175,0.049,0.21875,0.281,0.178,0.645,0.281,0.178,0.645
A29,A,7.25,25,200,240,200,6.982271233,1,3,0.602059991,0,3,0,0,3,0,0.283,0.167,0.116,0.409893993,0.373,0.194,0.629,0.373,0.194,0.629
A30,A,5,20.75,70,80,20,5.049218023,0,0,0,0,0,0,0,0,,0.155,0.126,0.029,0.187096774,0.348,0.267,0.695,0.348,0.267,0.695
A31,A,6,20.25,110,130,100,6.155336037,0,0,0,0,0,0,0,0,,0.212,0.178,0.034,0.160377358,0.36,0.296,0.693,0.36,0.296,0.693
A32,A,7.5,23,130,220,130,6.570309385,1,5,0.77815125,1,4,0,1,4,0.2,0.287,0.196,0.09,0.31358885,0.337,0.193,0.648,0.337,0.193,0.648
